hhid,sampletype,tacoma_addon,traveldate,dayofweek,hhnumtrips,vehicle_count,hhsize,numadults,numchildren,numworkers,lifecycle,hh_income_detailed,hh_income_followup,hh_income_broad,sample_segname,h_cnty,h_city,h_zip,address_use_flag,panel_moveinspect,h_segname,h_county_name,h_district_name,h_rgc_name,h_school_district_name,h_uv_name,h_uv_group,h_tract,h_bg,h_puma10,res_months,res_dur,rent_own,res_type,res_factors_hhchange,res_factors_afford,res_factors_school,res_factors_walk,res_factors_space,res_factors_closefam,res_factors_transit,res_factors_hwy,res_factors_30min,prev_rent_own,prev_res_type,prev_home_wa,prev_home_loc_cnty,prev_home_loc_city,prev_home_loc_zip,prev_home_loc_st,prev_home_loc_x,hh_info_dur,incentive_type,incentive_amt,user_ismobiledevice,foreign_language,expwt_h1415
15100262,1,0,4/30/2015,Thursday,0,2,2,2,0,0,8,7,,5,OS_MI,1,BELLEVUE,98004,2015reported,,OS_MI,King,East Side,Bellevue,Bellevue School District,,,53033023804,530330238042,11608,3,3,1,5,4,4,5,4,5,5,5,4,3,1,1,1,1,BELLEVUE,98004,WA,,16,1,10,FALSE,0,263.3413626
15100263,1,0,4/30/2015,Thursday,4,2,1,1,0,1,4,6,,4,OS_MI,1,SEATTLE,98103,2015reported,,OS_MI,King,North Seattle-Shoreline, ,Seattle School District,,,53033002800,530330028004,11601,1,3,2,1,3,5,3,5,5,3,3,4,5,2,1,2,8,AVONDALE,85323,AZ,0,8,1,10,FALSE,0,1120.970906
15100264,1,0,5/5/2015,Tuesday,5,1,2,2,0,1,8,2,,1,OS_LI,4,MARYSVILLE,98270,2015reported,,OS_LI,Snohomish,Suburban Snohomish, ,Marysville School District,,,53061052905,530610529053,11706,1,7,1,6,3,5,3,3,3,3,3,3,3,,,,,,,,,56,2,10,FALSE,0,705.744937
15100265,1,0,5/5/2015,Tuesday,7,3,2,2,0,0,8,8,,5,REG_HI,4,EDMONDS,98026,2015reported,,REG_HI,Snohomish,Everett-Lynwood-Edmonds, ,Edmonds School District,,,53061050101,530610501012,11702,1,7,1,1,3,5,4,4,3,4,1,3,2,,,,,,,,,17,2,10,FALSE,0,244.7043131
15100266,1,0,5/5/2015,Tuesday,5,6,2,2,0,1,7,6,,4,REG_HI,4,MUKILTEO,98275,2015reported,,REG_HI,Snohomish,Everett-Lynwood-Edmonds, ,Mukilteo School District,,,53061042001,530610420014,11702,1,7,1,1,1,1,2,4,1,2,1,3,3,,,,,,,,,23,2,10,FALSE,0,1405.437126
15100267,1,0,5/5/2015,Tuesday,0,0,1,1,0,1,4,98,98,98,OS_HI,1,SEATTLE,98122,2015reported,,REG_HI,King,Seattle CBD, ,Seattle School District,,,53033007800,530330078001,11604,2,2,5,8,3,3,5,5,5,5,5,1,5,5,8,2,8,DENVER,, CO,0,19,1,10,FALSE,0,128.9612096
15100268,1,0,5/5/2015,Tuesday,11,2,2,2,0,2,6,8,,5,REG_HI,4,BOTHELL,98012,2015reported,,REG_HI,Snohomish,Suburban Snohomish, ,Everett School District,,,53061052007,530610520073,11704,1,5,1,1,3,4,5,3,5,3,4,3,4,,,,,,,,,7,1,10,FALSE,0,1834.140404
15100269,1,0,5/5/2015,Tuesday,2,3,2,2,0,0,8,98,98,98,REG_HI,4,EDMONDS,98020,2015reported,,REG_HI,Snohomish,Everett-Lynwood-Edmonds, ,Edmonds School District,,,53061050700,530610507003,11701,1,7,1,1,5,5,5,5,3,4,4,3,4,,,,,,,,,7,1,10,FALSE,0,342.4315824
15100270,1,0,5/5/2015,Tuesday,6,2,2,2,0,2,8,98,3,3,REG_MI,4,LYNNWOOD,98036,2015reported,,REG_MI,Snohomish,Everett-Lynwood-Edmonds, ,Edmonds School District,,,53061051701,530610517011,11701,1,7,1,1,3,5,4,5,3,3,5,5,4,,,,,,,,,10,2,10,TRUE,0,4818.963102
15100271,1,0,5/5/2015,Tuesday,11,2,4,2,2,2,2,98,5,5,OS_HI,1,SEATTLE,98125,2015reported,,OS_HI,King,North Seattle-Shoreline, ,Seattle School District,,,53033001200,530330012002,11602,1,6,1,1,3,4,3,4,4,4,4,4,4,,,,,,,,,11,1,10,FALSE,0,1819.322904
